# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 333,         -2.34155,        -13.63182,          0.14440,          0.96187
                 334,         -2.26423,        -13.92903,          0.15082,          0.95307
                 335,         -2.42427,        -30.00322,          0.15511,          0.94430
                 336,         -2.23348,        -13.00821,          0.16164,          0.93826
                 337,         -2.21176,        -32.20889,          0.15568,          0.94546
                 338,         -2.04009,        -34.98868,          0.15041,          0.95073
                 339,         -2.10157,        -16.01823,          0.15028,          0.94437
                 340,         -2.15938,        -12.05350,          0.15735,          0.94780
                 341,         -2.27076,        -13.40459,          0.14809,          0.95611
                 342,         -2.38069,        -14.42587,          0.15535,          0.95169
                 343,         -2.19126,        -35.49629,          0.14786,          0.95242
                 344,         -1.96052,         -8.23415,          0.15012,          0.94891
                 345,         -2.00773,        -14.91362,          0.15763,          0.94248
                 346,         -2.33566,        -25.62630,          0.14712,          0.95375
                 347,         -2.06579,        -13.82819,          0.15163,          0.94853
                 348,         -2.10514,        -19.47098,          0.15223,          0.94223
                 349,         -2.26450,       -103.17526,          0.15491,          0.94596
                 350,         -2.24213,        -20.28041,          0.16035,          0.94631
                 351,         -2.18950,        -19.80463,          0.15300,          0.95730
                 352,         -2.04238,        -28.52535,          0.15307,          0.94669
                 353,         -2.25918,        -17.11947,          0.15401,          0.95015
                 354,         -2.10863,        -15.54093,          0.16044,          0.94196
                 355,         -2.00794,        -13.19277,          0.16146,          0.94321
                 356,         -2.12821,         -8.22668,          0.15082,          0.94904
                 357,         -2.17359,        -34.99561,          0.14763,          0.95410
                 358,         -2.23142,        -12.27820,          0.14552,          0.95489
                 359,         -2.08124,        -12.91920,          0.15507,          0.95313
                 360,         -2.12996,         -9.43884,          0.14903,          0.94774
                 361,         -2.22460,         -6.36544,          0.14770,          0.94923
                 362,         -2.24385,         -9.49024,          0.14838,          0.95167
                 363,         -2.22539,        -21.25554,          0.14944,          0.95092
                 364,         -2.20600,         -9.85867,          0.15356,          0.95418
                 365,         -2.15774,        -18.35637,          0.15411,          0.94951
                 366,         -2.12580,        -25.70045,          0.14757,          0.95446
                 367,         -2.00909,        -44.85248,          0.15210,          0.94671
                 368,         -2.08755,        -11.02046,          0.15249,          0.94964
                 369,         -2.12106,         -8.05025,          0.15298,          0.94672
                 370,         -2.20834,        -12.19632,          0.15145,          0.94431
                 371,         -2.33054,        -13.43287,          0.14763,          0.95452
                 372,         -2.19481,        -16.38675,          0.15709,          0.94089
                 373,         -2.11135,        -16.11700,          0.16022,          0.94237
                 374,         -2.08341,        -16.89684,          0.14725,          0.95278
                 375,         -2.34254,        -18.74064,          0.14415,          0.95733
                 376,         -2.11191,        -17.45827,          0.15107,          0.93942
                 377,         -2.12181,         -8.12673,          0.14714,          0.95236
                 378,         -2.24694,        -23.40135,          0.14710,          0.95551
                 379,         -2.21850,        -23.07461,          0.14778,          0.95243
                 380,         -2.03033,        -11.00379,          0.14195,          0.95082
                 381,         -2.33775,        -16.15847,          0.14327,          0.95024
                 382,         -2.15613,        -12.88128,          0.15504,          0.94278
                 383,         -2.10643,        -13.09188,          0.15091,          0.94935
                 384,         -2.20382,        -10.68622,          0.14311,          0.95774
                 385,         -2.05408,        -18.16832,          0.14222,          0.95347
                 386,         -1.94553,        -14.77991,          0.15204,          0.94364
                 387,         -2.23051,         -8.07236,          0.15453,          0.94856
                 388,         -2.24378,         -8.14629,          0.15008,          0.94947
                 389,         -2.24483,        -10.17148,          0.14528,          0.95373
