# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 299,         -1.32017,         -2.08147,          0.08673,          0.97960
                 300,         -1.41159,         -2.59348,          0.09552,          0.97039
                 301,         -1.15252,         -1.81285,          0.08964,          0.97645
                 302,         -1.09706,         -1.51116,          0.08608,          0.97548
                 303,         -1.16731,         -1.82040,          0.08107,          0.98106
                 304,         -1.27131,         -1.38637,          0.08319,          0.97617
                 305,         -1.30254,         -2.45251,          0.08131,          0.97552
                 306,         -1.23740,         -2.21333,          0.08518,          0.97683
                 307,         -1.06790,         -1.62894,          0.08905,          0.97145
                 308,         -1.30291,         -1.30194,          0.08259,          0.97654
                 309,         -1.13147,         -3.28250,          0.07810,          0.97341
                 310,         -1.13569,         -2.23840,          0.08986,          0.96195
                 311,         -1.24515,         -2.51561,          0.08377,          0.96906
                 312,         -1.10939,         -1.54317,          0.08787,          0.97155
                 313,         -1.12857,         -2.29002,          0.08680,          0.97138
                 314,         -1.25281,         -2.06535,          0.08499,          0.97189
                 315,         -0.93687,         -1.94135,          0.07918,          0.97404
                 316,         -0.99702,         -2.10545,          0.08539,          0.96944
                 317,         -1.04996,         -2.82317,          0.07954,          0.96609
                 318,         -1.29077,         -2.24364,          0.08959,          0.97388
                 319,         -1.20239,         -2.12950,          0.08318,          0.97633
                 320,         -1.29051,         -1.45276,          0.08745,          0.97204
                 321,         -1.17445,         -2.64626,          0.09118,          0.97553
                 322,         -0.88414,         -1.56702,          0.08739,          0.97734
                 323,         -1.22902,         -2.03227,          0.08189,          0.96316
                 324,         -1.26059,         -1.38410,          0.08085,          0.96919
                 325,         -0.87880,         -1.40879,          0.08171,          0.97047
                 326,         -1.03693,         -0.93372,          0.07818,          0.97278
                 327,         -1.40059,         -2.30484,          0.09512,          0.96694
                 328,         -1.27627,         -1.00999,          0.08305,          0.96831
                 329,         -1.08841,         -2.14259,          0.07514,          0.96312
                 330,         -1.30556,         -2.03995,          0.08884,          0.95407
                 331,         -1.02868,         -2.02628,          0.08427,          0.95950
                 332,         -1.22440,         -1.48583,          0.08634,          0.95919
                 333,         -1.17623,         -2.22147,          0.09844,          0.95938
                 334,         -1.35964,         -2.39061,          0.08235,          0.96513
                 335,         -0.99727,         -1.43952,          0.08657,          0.96220
                 336,         -0.92466,         -1.61966,          0.07924,          0.95969
                 337,         -1.06244,         -1.32150,          0.08584,          0.95664
                 338,         -1.07634,         -1.20150,          0.09427,          0.94027
                 339,         -1.12971,         -1.74131,          0.09237,          0.96201
                 340,         -1.26158,         -2.02207,          0.09772,          0.95315
                 341,         -1.26693,         -1.41335,          0.08908,          0.94858
                 342,         -1.15250,         -1.35926,          0.09275,          0.95690
                 343,         -1.03961,         -1.72523,          0.08843,          0.95194
                 344,         -0.98644,         -1.10898,          0.09236,          0.94858
                 345,         -1.19435,         -1.30467,          0.09480,          0.94471
                 346,         -1.12203,         -1.30446,          0.08291,          0.95351
                 347,         -0.95947,         -1.55548,          0.09105,          0.94951
                 348,         -1.23015,         -1.54847,          0.09142,          0.96043
                 349,         -1.41619,         -1.40430,          0.09736,          0.95434
