# TRAINING ITERATION,         BCE_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 471,          0.01852,          0.00485,          0.79478
                 472,          0.01971,          0.00512,          0.75892
                 473,          0.01963,          0.00511,          0.81416
                 474,          0.01784,          0.00461,          0.77470
                 475,          0.02062,          0.00537,          0.80695
                 476,          0.01773,          0.00466,          0.80312
                 477,          0.01536,          0.00400,          0.75927
                 478,          0.01686,          0.00428,          0.81788
                 479,          0.01671,          0.00436,          0.79779
                 480,          0.01937,          0.00502,          0.84398
                 481,          0.01646,          0.00416,          0.84446
                 482,          0.01731,          0.00442,          0.79874
                 483,          0.01888,          0.00478,          0.81362
                 484,          0.01765,          0.00455,          0.76690
                 485,          0.01910,          0.00497,          0.71379
                 486,          0.01743,          0.00445,          0.69890
                 487,          0.01675,          0.00422,          0.77506
                 488,          0.01935,          0.00505,          0.81374
                 489,          0.01875,          0.00487,          0.81884
                 490,          0.01716,          0.00439,          0.77364
                 491,          0.01724,          0.00451,          0.67678
                 492,          0.02095,          0.00551,          0.72085
                 493,          0.02209,          0.00575,          0.66767
                 494,          0.02101,          0.00550,          0.70544
                 495,          0.01981,          0.00514,          0.70358
                 496,          0.02153,          0.00550,          0.68672
                 497,          0.01811,          0.00468,          0.68061
                 498,          0.01733,          0.00451,          0.71283
                 499,          0.01733,          0.00454,          0.73956
                 500,          0.01907,          0.00499,          0.77074
                 501,          0.01575,          0.00413,          0.73659
                 502,          0.01708,          0.00439,          0.69473
                 503,          0.01954,          0.00513,          0.70519
                 504,          0.01804,          0.00472,          0.65200
                 505,          0.02004,          0.00509,          0.61085
                 506,          0.01828,          0.00465,          0.64937
                 507,          0.01848,          0.00473,          0.68414
                 508,          0.01716,          0.00439,          0.74051
                 509,          0.01735,          0.00451,          0.73251
                 510,          0.02158,          0.00569,          0.69064
                 511,          0.01549,          0.00393,          0.68420
                 512,          0.01819,          0.00467,          0.62733
                 513,          0.01770,          0.00456,          0.70045
                 514,          0.01992,          0.00505,          0.71137
                 515,          0.01932,          0.00507,          0.64204
                 516,          0.01488,          0.00387,          0.61536
                 517,          0.01836,          0.00475,          0.59083
                 518,          0.01726,          0.00447,          0.56927
                 519,          0.01654,          0.00434,          0.63201
                 520,          0.01499,          0.00382,          0.66958
                 521,          0.01995,          0.00518,          0.63262
                 522,          0.01598,          0.00414,          0.64099
                 523,          0.01681,          0.00438,          0.62057
                 524,          0.01839,          0.00471,          0.60907
                 525,          0.01679,          0.00439,          0.59575
                 526,          0.01749,          0.00458,          0.62315
                 527,          0.01773,          0.00464,          0.63556
                 528,          0.01447,          0.00361,          0.64749
                 529,          0.01869,          0.00486,          0.66190
                 530,          0.01479,          0.00373,          0.65685
                 531,          0.01983,          0.00507,          0.57422
                 532,          0.01822,          0.00481,          0.55415
                 533,          0.01638,          0.00429,          0.57570
                 534,          0.01795,          0.00467,          0.58200
                 535,          0.01947,          0.00508,          0.56003
                 536,          0.01641,          0.00434,          0.50130
                 537,          0.01845,          0.00481,          0.49710
                 538,          0.01699,          0.00443,          0.51247
                 539,          0.01698,          0.00439,          0.58424
                 540,          0.01686,          0.00432,          0.62038
                 541,          0.01883,          0.00497,          0.58606
                 542,          0.02139,          0.00553,          0.48220
                 543,          0.01916,          0.00499,          0.45436
                 544,          0.01740,          0.00449,          0.45433
                 545,          0.01737,          0.00451,          0.48777
                 546,          0.01700,          0.00447,          0.51861
                 547,          0.01940,          0.00513,          0.54068
                 548,          0.01804,          0.00459,          0.49081
                 549,          0.01466,          0.00373,          0.49435
                 550,          0.01710,          0.00448,          0.46920
                 551,          0.01972,          0.00510,          0.50125
                 552,          0.01787,          0.00466,          0.53555
                 553,          0.01966,          0.00512,          0.47272
                 554,          0.01859,          0.00471,          0.42588
                 555,          0.01929,          0.00503,          0.36508
                 556,          0.01487,          0.00374,          0.38597
                 557,          0.01639,          0.00424,          0.44650
                 558,          0.02296,          0.00583,          0.43638
                 559,          0.01618,          0.00422,          0.45600
                 560,          0.01819,          0.00471,          0.42746
                 561,          0.01455,          0.00376,          0.41404
                 562,          0.02011,          0.00507,          0.40530
                 563,          0.01847,          0.00477,          0.47261
                 564,          0.01768,          0.00454,          0.48851
                 565,          0.01967,          0.00512,          0.47604
                 566,          0.01677,          0.00438,          0.45675
                 567,          0.01918,          0.00506,          0.38135
                 568,          0.01778,          0.00459,          0.38814
                 569,          0.01974,          0.00511,          0.39485
                 570,          0.01908,          0.00496,          0.39885
                 571,          0.01928,          0.00505,          0.37134
                 572,          0.01664,          0.00427,          0.37417
                 573,          0.01776,          0.00460,          0.40382
                 574,          0.01538,          0.00400,          0.39670
                 575,          0.01635,          0.00435,          0.44597
                 576,          0.01976,          0.00515,          0.44097
                 577,          0.01710,          0.00432,          0.42206
                 578,          0.01583,          0.00410,          0.42271
                 579,          0.02069,          0.00540,          0.34789
                 580,          0.02222,          0.00578,          0.29769
                 581,          0.01701,          0.00443,          0.33515
                 582,          0.01794,          0.00469,          0.36472
                 583,          0.02027,          0.00530,          0.39282
                 584,          0.02136,          0.00564,          0.35174
                 585,          0.01498,          0.00384,          0.37996
                 586,          0.02046,          0.00533,          0.32561
                 587,          0.01859,          0.00485,          0.34232
                 588,          0.01643,          0.00416,          0.36095
                 589,          0.02008,          0.00518,          0.35189
                 590,          0.01577,          0.00408,          0.33521
                 591,          0.01766,          0.00459,          0.32226
                 592,          0.01498,          0.00388,          0.35582
                 593,          0.01778,          0.00464,          0.35311
                 594,          0.01677,          0.00435,          0.37613
                 595,          0.01880,          0.00487,          0.31873
                 596,          0.01840,          0.00488,          0.29150
                 597,          0.01954,          0.00496,          0.27206
                 598,          0.01943,          0.00504,          0.24556
                 599,          0.01690,          0.00443,          0.32094
                 600,          0.01916,          0.00498,          0.37414
